OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
,0,541,ראשון לציון,תעשיה,300,1079019,תעשיה/מסחר/מתקנים,8300,4,,,,,,,,,,,,,,,0.000000000000000,202204,4352.789773547453478,1079018.696128169074655
,24,2153,ע'ג'ר,מגורים,2607,33807338,מגורים,0,1,0,0,2,0,0,2,0,2,2,0,0,0,1,2,0.709905046789868,202204,33366.248027557085152,33807338.190545350313187
,10,1183,סיבוב מוצא,לא ידוע,0,598187,עתידי/לא ידוע,0,5,0,1,1,0,0,2,0,2,4,1,0,0,2,4,16.717189909377634,202204,4126.901522561203819,598186.660210782429203
,13,134,הרצלייה,מגורים,3697,359533,מגורים,6400,1,0,0,2,0,0,0,1,2,2,0,0,0,2,2,36.158042962950290,202204,3003.849839389931276,359532.732822973397560
,30,1809,קריית ביאליק,שטח פתוח,0,456783,פנאי/טבע/ספורט,9500,3,0,0,2,0,0,2,0,2,2,0,0,0,1,2,65.676651438237826,202204,3026.497169577537989,456783.336894267995376
,0,1016,רמת השרון,שטח פתוח,0,722648,פנאי/טבע/ספורט,2650,3,,,,,,,,,,,,,,,0.000000000000000,202204,4363.153600167668628,722647.828503006254323
,12,2388,באר שבע,תעשיה,0,546789,תעשיה/מסחר/מתקנים,9000,4,0,0,1,1,0,0,1,1,1,0,0,0,1,1,21.946311928003727,202204,3429.588795831971311,546788.911019161809236
,24,634,כפר סבא,מגורים,1838,278056,מגורים,6900,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,86.313410937246914,202204,2637.630636696458623,278056.442670871852897
,26,1276,ירושלים,מגורים,1863,251815,מגורים,3000,1,0,0,1,0,0,1,0,1,2,0,0,0,1,2,103.250424643246546,202204,3314.788950675925662,251814.944973212928744
,7,227,אור יהודה,מגורים,3330,226524,מגורים,2400,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,30.901864466174498,202204,1947.688006498367940,226523.548689506191295
,15,1918,נצרת,מגורים,9176,5134038,מגורים,7300,1,0,1,4,0,2,3,0,5,4,0,0,0,4,4,2.921676945374235,202204,12432.793990714806569,5134037.842119694687426
,0,869,טירה,מגורים,2053,696173,מגורים,2720,1,,,,,,,,,,,,,,,0.000000000000000,202204,3734.500187671895674,696173.202722210553475
,0,2225,אום אל-פחם,מגורים,10914,243043,מגורים,2710,1,,,,,,,,,,,,,,,0.000000000000000,202204,2295.286139501212801,243042.979365347651765
,5,1511,א זעים,לא ידוע,0,1230780,עתידי/לא ידוע,0,5,0,0,1,0,0,1,0,1,2,0,1,0,1,2,4.062464503176757,202204,4790.617327813786687,1230779.984930357430130
,8,462,באר יעקב,מגורים,5225,2611850,מגורים,2530,1,0,1,0,1,0,0,1,1,2,1,0,0,1,2,3.062963203113217,202204,7141.379699620229985,2611849.855678561609238
,16,1113,ירושלים,מגורים,2172,326431,מגורים,3000,1,0,0,4,0,2,2,0,4,2,0,0,0,1,2,49.014959801829811,202204,2613.698889409663479,326430.952196816739161
,28,64,תל אביב -יפו,מגורים,2446,268472,מגורים,5000,1,0,0,1,0,0,1,0,1,3,0,0,0,2,3,104.294087042661033,202204,2115.958455304164545,268471.595983641163912
,3,2460,נאות חובב,תעשיה,0,23157666,תעשיה/מסחר/מתקנים,1770,4,0,0,2,0,0,2,0,2,2,0,0,0,0,2,0.129546734572050,202204,20567.015029210069770,23157665.918097671121359
,23,706,נתניה,מתחם ציבורי,0,550015,מוסדי/ציבורי,7400,2,0,0,1,1,0,0,1,1,1,0,0,0,0,1,41.817060202449895,202204,2991.863896024558926,550014.752080839010887
,12,2078,כרמיאל,מגורים,2044,246560,מגורים,1139,1,0,0,2,2,1,1,0,2,1,0,0,0,1,1,48.669624330670018,202204,2989.273534964218925,246560.358026802947279
,0,1348,אל-ג'נאין,לא ידוע,0,491974,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202204,3113.890600772934249,491974.256362105079461
,24,299,בת ים,מגורים,4342,734466,מגורים,6200,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,32.676819732501066,202204,4377.869778912573565,734465.599665719084442
,21,1990,עכו,תעשיה ומלאכה,0,1013504,תעשיה/מסחר/מתקנים,7600,4,0,0,1,0,0,1,0,1,2,0,0,0,2,2,20.720200742876379,202204,4223.319380378913593,1013503.694322064751759
,8,941,בסיס חיל האוויר תל נוף,בסיס צבאי,0,12947797,מוסדי/ציבורי,0,2,0,0,3,0,0,3,0,3,2,0,0,0,2,2,0.617865730041300,202204,15142.071249892922424,12947796.925822803750634
,30,1592,אלקנה שערי תקווה עץ אפרים,מגורים,12115,8391035,מגורים,0,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,3.575244323465661,202204,19733.661534283441142,8391034.929584760218859
,8,2553,מכחול דריג'את כחלה,מגורים,2330,64192464,מגורים,0,1,0,1,1,0,0,2,0,2,2,0,0,0,2,2,0.124625220180695,202204,46180.717110069119371,64192464.321433030068874
,21,559,ראשון לציון,שטח פתוח,0,1875968,פנאי/טבע/ספורט,8300,3,0,0,1,0,0,1,0,1,2,0,0,0,1,2,11.194218445230470,202204,5753.326386709167309,1875968.394108611159027
,0,2171,טבריה,שטח פתוח,0,588058,פנאי/טבע/ספורט,6700,3,,,,,,,,,,,,,,,0.000000000000000,202204,3459.236365374839806,588057.912401310750283
,0,1185,בית זית,מגורים,1679,2275494,מגורים,0,1,,,,,,,,,,,,,,,0.000000000000000,202204,7604.073079213519122,2275494.143894784618169
,55,136,הרצלייה,מגורים,6017,369860,מגורים,6400,1,0,0,1,0,0,1,0,1,2,1,0,0,1,2,148.704799133215744,202204,2512.235237509157287,369860.289113660575822
,6,1827,קריית אתא,מוסדות ציבור,0,832999,מוסדי/ציבורי,6800,2,0,0,1,0,0,1,0,1,2,0,0,0,2,2,7.202890786231213,202204,4287.573752241346483,832998.885873625054955
,70,778,אשדוד,מגורים,10963,451746,מגורים,70,1,0,0,1,0,0,1,0,1,2,1,0,0,1,2,154.954389067273297,202204,2720.138731002717577,451745.835799524036702
,0,2406,באר שבע,שטח פתוח,0,9890363,פנאי/טבע/ספורט,9000,3,,,,,,,,,,,,,,,0.000000000000000,202204,14634.880160100787180,9890362.607275515794754
,8,1420,צומת הרטוב,תשעיה,0,874938,תעשיה/מסחר/מתקנים,0,4,0,0,1,0,1,0,0,1,2,0,1,0,1,2,9.143506762773011,202204,8164.813397686538337,874937.833761035813950
,71,1038,תל אביב -יפו,מתחם ציבורי,237,220152,מוסדי/ציבורי,5000,2,0,1,0,0,0,1,0,1,2,1,0,0,0,2,322.504625389944010,202204,2487.514887773922965,220151.881276595930103
,50,245,בני ברק,מגורים,9208,220629,מגורים,6100,1,0,0,1,0,0,1,0,1,2,1,0,0,1,2,226.625223002266438,202204,2276.129022104617889,220628.574955665710149
,6,1664,חגי,מגורים,635,7423254,מגורים,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0.808270841702702,202204,21245.945729578470491,7423254.298473032191396
,29,887,נווה ירק,מגורים,1321,8186787,מגורים,0,1,0,1,1,0,0,2,0,2,2,1,0,0,1,2,3.542293133374427,202204,19174.921174644459825,8186787.176580806262791
,2,2243,כפר קרע,מגורים,8039,4411871,מגורים,654,1,0,1,1,0,0,2,0,2,2,1,0,0,1,2,0.453322435748791,202204,9977.954040768803679,4411870.761914600618184
,0,1513,אבו דיס,לא ידוע,0,6195314,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202204,12496.473580929181480,6195314.256324105896056
,20,464,באר יעקב,מגורים,10449,1860760,מגורים,2530,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,10.748295449854377,202204,6888.508479721397634,1860760.163628640351817
,9,1131,ירושלים,מגורים,3936,506115,מגורים,3000,1,0,0,1,0,0,1,0,1,2,1,0,0,0,2,17.782514827365674,202204,4812.311392437949507,506115.141045732074417
,11,82,תל אביב -יפו,מגורים+ שטח פתוח,499,448580,מגורים,5000,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,24.521835777849027,202204,3749.266866357373146,448579.792298278072849
,29,1773,טירת כרמל,תעשיה,0,1618833,תעשיה/מסחר/מתקנים,2100,4,0,0,6,0,3,2,0,6,2,0,0,0,2,2,17.914140553750709,202204,5898.815529021351722,1618832.894214856904000
,0,2478,קריית גת,מגורים,2469,431130,מגורים,2630,1,,,,,,,,,,,,,,,0.000000000000000,202204,3348.352742712995223,431129.940770743356552
,18,724,ראש העין,מגורים,4233,690629,מגורים,2640,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,26.063187815069501,202204,4227.770486096945206,690629.255627454840578
,15,2080,כרמיאל,מגורים,4977,919949,מגורים,1139,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,16.305255719783723,202204,5228.154098715373038,919948.773437511175871
,0,1366,א-טירה מרכז,לא ידוע,0,1358406,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202204,4667.509655655243478,1358405.601440544705838
,68,317,חולון,מגורים,6717,656829,מגורים,6600,1,0,0,1,0,1,0,0,1,2,0,0,0,2,2,103.527676540588232,202204,3443.196197604566805,656829.190726988483220
,60,1992,שבי ציון רגבה לוחמי הגיטאות נס עמים,מגורים,3324,13100809,מגורים,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,4.579869937504000,202204,19077.854034729465639,13100808.717004662379622
